Eichner,Legrand,Default
7.29802,2.036427,2.642515
7.29814,2.036491,2.64258
7.302575,2.038814,2.644982
7.30281,2.038937,2.645109
7.303774,2.039442,2.645631
7.309116,2.042242,2.648525
7.309321,2.042349,2.648636
7.31492,2.045287,2.651671
7.326877,2.051565,2.658155
7.333652,2.055127,2.661832
7.338926,2.057901,2.664695
7.343363,2.060237,2.667104
7.343393,2.060253,2.66712
7.34789,2.062621,2.669563
7.347993,2.062675,2.669619
7.353277,2.06546,2.67249
7.35543,2.066595,2.673661
7.358632,2.068283,2.675401
7.36306,2.07062,2.677809
7.365633,2.071978,2.679208
7.37219,2.075441,2.682776
7.379817,2.079472,2.686927
7.383239,2.081282,2.68879
7.386825,2.08318,2.690744
7.387937,2.083768,2.69135
7.388529,2.084081,2.691672
7.388863,2.084258,2.691854
7.391756,2.08579,2.69343
7.39295,2.086423,2.694081
7.394911,2.087461,2.695149
7.403538,2.092034,2.699853
7.408732,2.094789,2.702686
7.409165,2.095019,2.702922
7.409958,2.095439,2.703354
7.412521,2.0968,2.704753
7.412971,2.097039,2.704998
7.413069,2.097091,2.705052
7.421307,2.101466,2.709548
7.423423,2.102591,2.710704
7.424641,2.103239,2.711369
7.427731,2.104882,2.713056
7.428445,2.105261,2.713446
7.429687,2.105922,2.714125
7.429797,2.10598,2.714185
7.435585,2.109061,2.717347
7.440507,2.111681,2.720038
7.446092,2.114657,2.723091
7.446224,2.114727,2.723163
7.447968,2.115657,2.724117
7.449809,2.116638,2.725124
7.452098,2.117859,2.726377
7.456373,2.120139,2.728715
7.468507,2.126619,2.735359
7.478028,2.13171,2.740575
7.479373,2.132429,2.741312
7.481235,2.133426,2.742332
7.491928,2.139152,2.748196
7.496178,2.14143,2.750527
7.499153,2.143025,2.75216
7.506883,2.147172,2.756403
7.518193,2.153248,2.762616
7.519798,2.15411,2.763498
7.52306,2.155864,2.76529
7.530033,2.159616,2.769124
7.533916,2.161706,2.77126
7.539841,2.164898,2.77452
7.549877,2.170309,2.780044
7.55515,2.173154,2.782948
7.562438,2.17709,2.786963
7.565467,2.178727,2.788633
7.566212,2.17913,2.789044
7.568563,2.1804,2.790339
7.569838,2.18109,2.791042
7.573165,2.182889,2.792877
7.573576,2.183111,2.793104
7.576103,2.184479,2.794497
7.588448,2.191164,2.80131
7.590103,2.19206,2.802223
7.590855,2.192468,2.802639
7.592152,2.193171,2.803354
7.593165,2.19372,2.803914
7.593167,2.193721,2.803915
7.594083,2.194218,2.804421
7.595793,2.195145,2.805365
7.596246,2.195391,2.805615
7.598966,2.196867,2.807118
7.60376,2.199468,2.809766
7.606052,2.200712,2.811033
7.606714,2.201072,2.811399
7.606959,2.201205,2.811534
7.607003,2.201229,2.811559
7.615008,2.205578,2.815984
7.617637,2.207007,2.817438
7.61961,2.20808,2.818529
7.619637,2.208095,2.818544
7.627038,2.212122,2.822639
7.63209,2.214872,2.825435
7.635565,2.216765,2.827359
7.636668,2.217366,2.82797
7.637418,2.217775,2.828386
7.637761,2.217962,2.828575
7.640755,2.219594,2.830234
7.644681,2.221734,2.832408
7.649903,2.224584,2.835303
7.656882,2.228394,2.839171
7.657047,2.228484,2.839263
7.658576,2.229319,2.840111
7.661318,2.230817,2.841631
7.663046,2.231762,2.84259
7.669333,2.235199,2.846078
7.675847,2.238763,2.849693
7.677,2.239395,2.850334
7.678514,2.240223,2.851174
7.679235,2.240618,2.851575
7.680825,2.241489,2.852458
7.684998,2.243775,2.854775
7.686063,2.244358,2.855367
7.690812,2.246962,2.858006
7.69287,2.24809,2.85915
7.693822,2.248612,2.859678
7.698234,2.251033,2.862131
7.700246,2.252137,2.86325
7.701707,2.252939,2.864062
7.702009,2.253105,2.86423
7.705883,2.255232,2.866385
7.707641,2.256198,2.867363
7.710968,2.258026,2.869214
7.71228,2.258747,2.869944
7.715081,2.260286,2.871502
7.723412,2.264869,2.876141
7.727629,2.267191,2.87849
7.730031,2.268513,2.879827
7.733449,2.270396,2.881732
7.734928,2.271211,2.882556
7.739748,2.273867,2.885242
7.741429,2.274795,2.88618
7.741661,2.274922,2.886309
7.74332,2.275837,2.887234
7.744268,2.276361,2.887763
7.744359,2.276411,2.887813
7.746869,2.277795,2.889213
7.748236,2.27855,2.889975
7.752499,2.280903,2.892354
7.754104,2.281789,2.893249
7.756132,2.28291,2.894381
7.762585,2.286475,2.897982
7.762776,2.286581,2.898089
7.769317,2.290198,2.901742
7.778897,2.2955,2.907094
7.782175,2.297316,2.908925
7.782353,2.297415,2.909025
7.793304,2.303486,2.915149
7.797292,2.305698,2.91738
7.798784,2.306526,2.918214
7.800579,2.307523,2.919219
7.80117,2.30785,2.91955
7.802313,2.308485,2.920189
7.80846,2.3119,2.92363
7.815512,2.315819,2.927579
7.819185,2.317862,2.929637
7.819196,2.317868,2.929643
7.821538,2.319172,2.930956
7.825242,2.321233,2.933032
7.831503,2.32472,2.936542
7.832228,2.325124,2.936948
7.834146,2.326192,2.938024
7.836098,2.32728,2.939118
7.836472,2.327489,2.939328
7.851008,2.335597,2.947485
7.85421,2.337385,2.949283
7.855112,2.337889,2.949789
7.85854,2.339804,2.951715
7.866128,2.344046,2.955978
7.866317,2.344152,2.956084
7.869138,2.34573,2.957669
7.872822,2.347791,2.95974
7.873032,2.347908,2.959858
7.874028,2.348466,2.960418
7.87414,2.348529,2.960481
7.876729,2.349978,2.961937
7.877411,2.35036,2.96232
7.878156,2.350777,2.962739
7.88448,2.354319,2.966296
7.885165,2.354704,2.966682
7.885948,2.355142,2.967123
7.886237,2.355304,2.967285
7.886794,2.355616,2.967598
7.887665,2.356105,2.968089
7.887981,2.356282,2.968266
7.889795,2.357299,2.969287
7.896021,2.360791,2.972792
7.898046,2.361928,2.973932
7.903455,2.364964,2.976978
7.903588,2.365038,2.977053
7.904466,2.365532,2.977548
7.905597,2.366167,2.978184
7.907014,2.366963,2.978983
7.908198,2.367628,2.97965
7.908757,2.367942,2.979965
7.909828,2.368544,2.980568
7.918043,2.373162,2.985198
7.923086,2.376,2.988042
7.926165,2.377733,2.989779
7.927848,2.378681,2.990728
7.93131,2.380631,2.992682
7.934906,2.382656,2.99471
7.936565,2.383592,2.995647
7.942785,2.387098,2.999158
7.942906,2.387167,2.999227
7.949294,2.390771,3.002834
7.957507,2.395409,3.007475
7.962391,2.398168,3.010235
7.963823,2.398978,3.011045
7.967392,2.400996,3.013064
7.96994,2.402437,3.014504
7.973375,2.40438,3.016447
7.978853,2.407482,3.019547
7.979051,2.407593,3.019659
7.979555,2.407879,3.019945
7.980636,2.408492,3.020556
7.982172,2.409361,3.021426
7.984631,2.410755,3.022818
7.991508,2.414652,3.026711
7.994553,2.41638,3.028437
8.001184,2.420142,3.032194
8.001777,2.420479,3.03253
8.004161,2.421832,3.03388
8.0068,2.423331,3.035377
8.009208,2.424699,3.036742
8.01084,2.425626,3.037667
8.013789,2.427302,3.039339
8.014892,2.42793,3.039965
8.019527,2.430565,3.042595
8.02059,2.431169,3.043197
8.02171,2.431807,3.043833
8.021928,2.431931,3.043957
8.025494,2.43396,3.04598
8.026045,2.434274,3.046293
8.027136,2.434895,3.046912
8.02923,2.436087,3.048101
8.030661,2.436902,3.048913
8.031105,2.437155,3.049166
8.033264,2.438385,3.050392
8.033397,2.43846,3.050467
8.034529,2.439105,3.051109
8.037504,2.4408,3.052799
8.038969,2.441635,3.053631
8.039587,2.441987,3.053982
8.040096,2.442278,3.054272
8.040514,2.442516,3.054509
8.041454,2.443052,3.055043
8.042841,2.443842,3.055831
8.046437,2.445893,3.057874
8.046724,2.446057,3.058037
8.046919,2.446168,3.058148
8.048307,2.44696,3.058937
8.048932,2.447317,3.059292
8.049413,2.447591,3.059566
8.049812,2.447819,3.059793
8.05352,2.449936,3.061901
8.053932,2.450171,3.062135
8.055824,2.451251,3.06321
8.05687,2.451848,3.063805
8.058777,2.452938,3.06489
8.06163,2.454568,3.066513
8.065097,2.456549,3.068485
8.066205,2.457183,3.069115
8.069121,2.45885,3.070774
8.071789,2.460376,3.072293
8.072358,2.460701,3.072617
8.072967,2.461049,3.072963
8.07776,2.463792,3.075692
8.078055,2.463962,3.07586
8.080899,2.465589,3.077479
8.083206,2.466911,3.078794
8.086406,2.468744,3.080616
8.089023,2.470244,3.082107
8.091077,2.471421,3.083278
8.091526,2.471678,3.083533
8.094948,2.47364,3.085484
8.095168,2.473766,3.085609
8.096745,2.474671,3.086508
8.098391,2.475615,3.087446
8.101653,2.477486,3.089306
8.102414,2.477923,3.08974
8.104014,2.478842,3.090653
8.106064,2.480019,3.091822
8.107059,2.48059,3.092389
8.111738,2.483278,3.095059
8.111797,2.483312,3.095092
8.114243,2.484717,3.096488
8.118592,2.487217,3.09897
8.123868,2.490251,3.101982
8.124204,2.490444,3.102174
8.125799,2.491362,3.103085
8.126468,2.491747,3.103467
8.12851,2.492922,3.104633
8.128888,2.493139,3.104849
8.131394,2.494582,3.10628
8.132653,2.495307,3.107
8.132746,2.495361,3.107053
8.133288,2.495673,3.107363
8.135079,2.496704,3.108386
8.137611,2.498163,3.109833
8.138655,2.498764,3.110429
8.139366,2.499174,3.110836
8.143738,2.501694,3.113335
8.14659,2.503338,3.114965
8.148238,2.504289,3.115908
8.149104,2.504788,3.116403
8.151236,2.506018,3.117622
8.151339,2.506078,3.117681
8.152153,2.506547,3.118147
8.16105,2.511684,3.123237
8.17281,2.51848,3.129969
8.175582,2.520084,3.131557
8.180067,2.522679,3.134126
8.183493,2.524662,3.136089
8.184089,2.525007,3.136431
8.185358,2.525741,3.137158
8.186618,2.526471,3.137881
8.186949,2.526663,3.13807
8.187802,2.527157,3.138559
8.197106,2.532549,3.143894
8.19871,2.533479,3.144814
8.199033,2.533666,3.144999
8.199679,2.534041,3.145369
8.201204,2.534925,3.146244
8.207289,2.538456,3.149736
8.213756,2.542212,3.153448
8.216648,2.543891,3.155108
8.217175,2.544198,3.155411
8.221571,2.546752,3.157935
8.22614,2.549409,3.160561
8.226331,2.54952,3.16067
8.229824,2.551552,3.162677
8.231168,2.552334,3.16345
8.235521,2.554868,3.165952
8.235735,2.554993,3.166075
8.237152,2.555818,3.166889
8.244718,2.560225,3.17124
8.2451,2.560448,3.17146
8.248985,2.562712,3.173695
8.252901,2.564996,3.175948
8.255208,2.566342,3.177276
8.258262,2.568124,3.179034
8.260591,2.569483,3.180375
8.260728,2.569563,3.180453
8.266889,2.573161,3.184001
8.271719,2.575983,3.186783
8.274378,2.577537,3.188316
8.275753,2.578341,3.189108
8.276341,2.578685,3.189447
8.27781,2.579544,3.190293
8.281178,2.581514,3.192234
8.282691,2.582399,3.193107
8.285548,2.584071,3.194754
8.289874,2.586603,3.197248
8.295784,2.590066,3.200658
8.307154,2.596731,3.207219
8.311865,2.599496,3.20994
8.311946,2.599543,3.209987
8.313141,2.600245,3.210677
8.31413,2.600826,3.211248
8.314502,2.601044,3.211463
8.315984,2.601914,3.212319
8.318664,2.603488,3.213867
8.320164,2.604369,3.214733
8.32143,2.605112,3.215465
8.32218,2.605553,3.215898
8.331985,2.611317,3.221566
8.337134,2.614347,3.224544
8.338154,2.614947,3.225134
8.339282,2.615611,3.225786
8.341797,2.617092,3.227241
8.344838,2.618882,3.229
8.347406,2.620395,3.230487
8.350358,2.622134,3.232195
8.35226,2.623255,3.233296
8.352683,2.623504,3.233541
8.355704,2.625285,3.23529
8.361653,2.628794,3.238735
8.362223,2.62913,3.239065
8.363302,2.629767,3.23969
8.364365,2.630395,3.240306
8.364474,2.630459,3.240369
8.365801,2.631242,3.241138
8.367817,2.632432,3.242306
8.370991,2.634306,3.244145
8.376769,2.637719,3.247494
8.379269,2.639197,3.248944
8.379969,2.639611,3.24935
8.383791,2.641871,3.251566
8.389678,2.645354,3.254981
8.390033,2.645564,3.255187
8.395158,2.648597,3.258161
8.395824,2.648991,3.258547
8.39721,2.649812,3.259352
8.397508,2.649989,3.259525
8.40435,2.654042,3.263497
8.406718,2.655446,3.264872
8.406822,2.655507,3.264932
8.420069,2.663365,3.272628
8.425566,2.666629,3.275824
8.428999,2.668669,3.277821
8.434945,2.672203,3.281278
8.437807,2.673904,3.282943
8.444956,2.678158,3.287104
8.445356,2.678396,3.287337
8.451085,2.681807,3.290672
8.452804,2.682831,3.291673
8.456237,2.684876,3.293672
8.457368,2.68555,3.294331
8.460401,2.687357,3.296098
8.464884,2.69003,3.29871
8.465476,2.690383,3.299055
8.465698,2.690516,3.299185
8.467254,2.691444,3.300091
8.46987,2.693005,3.301616
8.470686,2.693492,3.302092
8.4718,2.694156,3.302741
8.475097,2.696124,3.304663
8.4759,2.696604,3.305131
8.477221,2.697393,3.305902
8.478255,2.69801,3.306505
8.47842,2.698109,3.306601
8.479885,2.698984,3.307456
8.482287,2.700419,3.308857
8.482944,2.700811,3.30924
8.483555,2.701176,3.309596
8.486284,2.702807,3.311189
8.486987,2.703227,3.311599
8.488233,2.703972,3.312326
8.488476,2.704118,3.312468
8.489856,2.704942,3.313273
8.490461,2.705304,3.313626
8.490959,2.705602,3.313917
8.493128,2.706899,3.315182
8.495535,2.708339,3.316588
8.497216,2.709345,3.317569
8.50206,2.712244,3.320398
8.505517,2.714314,3.322417
8.512343,2.718404,3.326405
8.512822,2.718691,3.326685
8.513396,2.719035,3.32702
8.513984,2.719387,3.327364
8.52166,2.72399,3.331851
8.522596,2.724552,3.332398
8.524487,2.725687,3.333504
8.525584,2.726345,3.334145
8.529395,2.728632,3.336374
8.53849,2.734095,3.341695
8.538675,2.734206,3.341804
8.538832,2.734301,3.341896
8.538968,2.734382,3.341975
8.543438,2.737069,3.344592
8.549774,2.74088,3.348302
8.551971,2.742202,3.349589
8.552186,2.742331,3.349714
8.555149,2.744115,3.35145
8.557113,2.745297,3.352601
8.557315,2.745419,3.352719
8.562403,2.748483,3.3557
8.564206,2.749569,3.356757
8.567451,2.751524,3.358659
8.57157,2.754008,3.361074
8.57196,2.754243,3.361303
8.573127,2.754947,3.361987
8.574421,2.755727,3.362746
8.579502,2.758792,3.365726
8.580572,2.759438,3.366354
8.585404,2.762355,3.369189
8.587011,2.763325,3.370132
8.590468,2.765413,3.372161
8.59077,2.765596,3.372339
8.597233,2.769502,3.376133
8.600387,2.771409,3.377986
8.607516,2.775722,3.382173
8.608039,2.776038,3.382481
8.609401,2.776863,3.383281
8.610835,2.777731,3.384124
8.611131,2.77791,3.384298
8.614757,2.780106,3.38643
8.617758,2.781923,3.388193
8.619518,2.78299,3.389228
8.621209,2.784015,3.390223
8.622402,2.784737,3.390924
8.624036,2.785728,3.391885
8.624714,2.786139,3.392284
8.628586,2.788487,3.394562
8.628832,2.788636,3.394706
8.631419,2.790205,3.396228
8.635851,2.792894,3.398836
8.63717,2.793695,3.399613
8.637598,2.793955,3.399865
8.639624,2.795185,3.401057
8.64496,2.798426,3.404199
8.645184,2.798562,3.404331
8.649616,2.801255,3.406941
8.649672,2.801289,3.406974
8.652207,2.802829,3.408467
8.653437,2.803578,3.409192
8.653649,2.803707,3.409317
8.656984,2.805734,3.411282
8.657464,2.806027,3.411565
8.659423,2.807218,3.412719
8.659515,2.807274,3.412773
8.662763,2.809251,3.414688
8.663824,2.809897,3.415313
8.664403,2.810249,3.415654
8.665975,2.811205,3.416581
8.666992,2.811825,3.417181
8.668406,2.812686,3.418014
8.672765,2.815341,3.420585
8.674808,2.816585,3.42179
8.678379,2.818762,3.423896
8.681359,2.820578,3.425655
8.682098,2.821029,3.426091
8.682254,2.821124,3.426183
8.682274,2.821136,3.426195
8.682465,2.821253,3.426307
8.682984,2.821569,3.426614
8.683664,2.821984,3.427015
8.684127,2.822267,3.427288
8.686765,2.823875,3.428845
8.690939,2.826422,3.431309
8.693849,2.828199,3.433027
8.693961,2.828267,3.433093
8.69616,2.82961,3.434392
8.700568,2.832302,3.436996
8.703605,2.834158,3.43879
8.703878,2.834324,3.438951
8.703901,2.834339,3.438965
8.705396,2.835253,3.439848
8.708815,2.837342,3.441869
8.710015,2.838076,3.442578
8.71207,2.839333,3.443793
8.714981,2.841114,3.445513
8.717093,2.842406,3.446762
8.719452,2.84385,3.448157
8.720695,2.844611,3.448892
8.721115,2.844868,3.449141
8.72181,2.845293,3.449552
8.723146,2.846111,3.450342
8.725748,2.847705,3.451881
8.72899,2.849691,3.453799
8.729153,2.84979,3.453895
8.734458,2.853041,3.457035
8.740676,2.856854,3.460716
8.741323,2.857251,3.461099
8.743763,2.858748,3.462543
8.747755,2.861198,3.464907
8.752724,2.864249,3.467851
8.755638,2.866039,3.469578
8.758344,2.867701,3.471181
8.760421,2.868977,3.472412
8.760943,2.869299,3.472722
8.764911,2.871738,3.475074
8.765952,2.872378,3.475691
8.770509,2.875181,3.478394
8.77237,2.876326,3.479497
8.777462,2.87946,3.482518
8.77975,2.880869,3.483876
8.780089,2.881078,3.484077
8.780658,2.881428,3.484415
8.78072,2.881466,3.484451
8.780833,2.881536,3.484519
8.782487,2.882554,3.4855
8.784058,2.883522,3.486432
8.785869,2.884638,3.487507
8.786263,2.884881,3.487741
8.794509,2.889964,3.492637
8.794599,2.89002,3.492691
8.797105,2.891565,3.494179
8.799329,2.892937,3.4955
8.802593,2.894951,3.497439
8.804983,2.896427,3.498859
8.808158,2.898387,3.500746
8.810263,2.899687,3.501997
8.811794,2.900633,3.502907
8.813031,2.901397,3.503642
8.813899,2.901933,3.504159
8.817111,2.903918,3.506068
8.8172,2.903973,3.506121
8.819271,2.905253,3.507353
8.819698,2.905518,3.507607
8.820094,2.905762,3.507842
8.822818,2.907447,3.509463
8.82319,2.907677,3.509684
8.825626,2.909183,3.511133
8.832038,2.913151,3.514948
8.834617,2.914748,3.516483
8.835177,2.915095,3.516817
8.8364,2.915852,3.517545
8.838817,2.917349,3.518984
8.840836,2.918599,3.520185
8.841645,2.9191,3.520667
8.842119,2.919395,3.52095
8.853145,2.92623,3.527517
8.857406,2.928874,3.530056
8.861353,2.931323,3.532409
8.863405,2.932598,3.533632
8.863628,2.932736,3.533765
8.863696,2.932778,3.533805
8.864161,2.933067,3.534083
8.867491,2.935135,3.536068
8.869174,2.936181,3.537072
8.87085,2.937222,3.538072
8.872585,2.938301,3.539107
8.875952,2.940393,3.541115
8.876331,2.940629,3.541341
8.876635,2.940818,3.541522
8.878179,2.941778,3.542444
8.878586,2.942031,3.542687
8.881544,2.943871,3.544451
8.881561,2.943881,3.544462
8.883104,2.944841,3.545383
8.889988,2.949126,3.549492
8.893163,2.951102,3.551388
8.895303,2.952435,3.552666
8.898629,2.954507,3.554652
8.90005,2.955393,3.555501
8.900349,2.955579,3.55568
8.902777,2.957093,3.557131
8.905191,2.958597,3.558573
8.908755,2.96082,3.560703
8.914219,2.964229,3.563969
8.91482,2.964604,3.564328
8.917222,2.966103,3.565765
8.919097,2.967274,3.566886
8.922996,2.969708,3.569218
8.927034,2.972231,3.571634
8.928062,2.972873,3.572248
8.928456,2.97312,3.572484
